Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,277.50,281.90,276.15,277.75,279.282935343043167362,212568,2591,59366615.00,32365,15.23,5.75,0.25
29-November-2016,275.00,279.40,268.00,276.30,275.144783338616325620,340716,4614,93746230.00,61722,18.12,11.40,1.30
28-November-2016,265.30,274.20,264.20,272.20,269.295963613768266032,236573,3511,63708154.00,36310,15.35,10.00,6.90
25-November-2016,262.00,266.00,255.95,265.30,262.888439848078788576,304105,3803,79945689.00,44279,14.56,10.05,3.30
24-November-2016,262.95,262.95,255.95,258.05,259.702322937366689826,205817,2784,53451153.00,36806,17.88,7.00,-4.90
23-November-2016,264.95,264.95,258.60,263.50,261.773800635148184650,200898,2306,52589833.00,33524,16.69,6.35,-1.45
22-November-2016,257.00,262.90,257.00,260.50,259.999923846409086211,183839,2670,47798126.00,18850,10.25,5.90,3.50
21-November-2016,264.50,265.15,246.00,255.15,252.711653724366706875,424448,5282,107262956.00,60152,14.17,19.15,-9.35
18-November-2016,265.30,266.00,257.10,260.80,262.399367108607232657,221523,2539,58127495.00,48568,21.92,8.90,-4.50
17-November-2016,264.35,269.20,262.15,264.10,265.076304106548279689,122536,1815,32481390.00,16131,13.16,7.05,-0.25
16-November-2016,272.00,272.95,261.30,264.35,265.736932634180555091,179646,2146,47738577.00,30706,17.09,11.65,-7.65
15-November-2016,280.00,280.50,258.15,266.90,266.805852791567077281,326340,3907,87069422.00,68982,21.14,22.35,-13.10
11-November-2016,288.00,292.75,273.05,276.50,280.943076114105429209,380350,6224,106856699.00,119617,31.45,19.70,-11.50
10-November-2016,286.30,296.90,286.25,293.70,293.122866217608095121,232041,3686,68016523.00,33220,14.32,10.65,7.40
9-November-2016,266.25,283.50,261.85,282.25,273.866229630935513288,459459,5738,125830304.00,70333,15.31,21.65,16.00
8-November-2016,298.80,298.80,286.95,290.90,289.999818516676300966,297548,3542,86288866.00,96277,32.36,11.85,-7.90
7-November-2016,292.40,297.70,290.80,293.65,292.561641206451658764,281354,5280,82313388.00,117146,41.64,6.90,1.25
4-November-2016,288.10,292.05,284.65,288.55,288.594558466384125062,293998,4457,84846223.00,43325,14.74,7.40,0.45
3-November-2016,300.00,302.15,287.15,288.10,294.716190077128087194,410486,6036,120976870.00,73105,17.81,15.00,-11.90
2-November-2016,302.00,303.90,297.55,299.85,300.813512559370355317,337079,4180,101397918.00,58583,17.38,6.35,-2.15
1-November-2016,305.10,308.30,301.85,304.60,305.194559440970081329,272472,4044,83156972.00,57067,20.94,6.45,-0.50
