Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,3100.00,3100.00,3035.45,3056.20,3047.786359530261969286,2214,485,6747799.00,733,33.11,64.55,-43.80
29-November-2016,3059.00,3109.00,3050.05,3073.10,3079.701438848920863309,1946,356,5993099.00,1139,58.53,58.95,14.10
28-November-2016,3051.60,3097.00,3040.45,3052.10,3051.990255785627283800,821,153,2505684.00,452,55.05,56.55,0.50
25-November-2016,2895.00,3070.80,2895.00,3054.65,3045.617812061711079943,1426,295,4343051.00,551,38.64,175.80,159.65
24-November-2016,2880.00,2986.25,2867.20,2943.40,2925.787362637362637362,1820,353,5324933.00,700,38.46,119.05,63.40
23-November-2016,2850.00,2965.85,2795.75,2885.70,2822.877928656863434883,14213,1008,40121564.00,11258,79.21,170.10,35.70
22-November-2016,2920.00,2972.70,2811.45,2842.75,2855.537872636585082937,8621,410,24617592.00,6536,75.81,161.25,-77.25
21-November-2016,3000.40,3060.00,2920.00,2944.05,2975.567665758401453224,1101,228,3276100.00,523,47.50,140.00,-56.35
18-November-2016,3019.60,3040.00,3000.00,3016.70,3012.953103448275862068,1450,187,4368782.00,627,43.24,40.00,-2.90
17-November-2016,3019.60,3079.05,2990.00,2996.95,3012.150489759572573463,1123,341,3382645.00,532,47.37,89.05,-22.65
16-November-2016,3099.00,3118.20,3053.00,3070.15,3084.188000000000000000,1500,270,4626282.00,691,46.07,65.20,-28.85
15-November-2016,3190.00,3194.00,2986.15,3071.60,3053.912786170378445724,6421,1227,19609174.00,3079,47.95,207.85,-118.40
11-November-2016,3166.80,3189.90,3130.00,3137.30,3149.226839826839826839,1155,162,3637357.00,522,45.19,59.90,-29.50
10-November-2016,3220.10,3220.40,3145.05,3159.55,3178.128794093519278096,1219,255,3874139.00,315,25.84,75.35,-60.55
9-November-2016,3106.00,3198.45,3054.95,3140.55,3151.167291822955738934,2666,487,8401012.00,1189,44.60,143.50,34.55
8-November-2016,3228.00,3230.00,3170.00,3221.60,3208.886792452830188679,742,133,2380994.00,407,54.85,60.00,-6.40
7-November-2016,3210.00,3215.65,3180.00,3200.05,3197.236794171220400728,1098,153,3510566.00,533,48.54,35.65,-9.95
4-November-2016,3185.00,3221.00,3150.00,3212.15,3193.449211908931698774,1142,184,3646919.00,467,40.89,71.00,27.15
3-November-2016,3174.00,3226.00,3145.70,3183.55,3181.448432343234323432,2424,354,7711831.00,1046,43.15,80.30,9.55
2-November-2016,3173.00,3204.95,3155.50,3196.00,3193.013289036544850498,602,96,1922194.00,305,50.66,49.45,23.00
1-November-2016,3213.45,3215.00,3170.00,3190.40,3197.725303292894280762,2308,665,7380350.00,1747,75.69,45.00,-23.05
