Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,835.55,849.00,831.00,844.30,844.159143642638485386,51287,1898,43294390.00,13886,27.08,18.00,8.75
29-November-2016,838.00,840.35,829.55,834.00,836.280006248047485160,64020,1795,53538646.00,26091,40.75,10.80,-4.00
28-November-2016,834.95,841.00,829.15,837.25,836.327627832115884610,32308,1349,27020073.00,9943,30.78,11.85,2.30
25-November-2016,832.00,837.60,826.00,833.00,833.426334067231087000,44057,2558,36718264.00,12816,29.09,11.60,1.00
24-November-2016,829.00,833.95,820.55,826.90,827.168982700644168050,49366,2488,40834024.00,16428,33.28,13.40,-2.10
23-November-2016,820.00,833.45,815.50,830.50,826.579026014942839139,55545,2305,45912332.00,14741,26.54,17.95,10.50
22-November-2016,805.00,822.50,804.00,819.80,815.954781642933640077,50422,3292,41142072.00,21881,43.40,18.50,14.80
21-November-2016,805.00,805.35,793.00,799.65,799.717994774657086871,42868,1567,34282311.00,15843,36.96,12.35,-5.35
18-November-2016,813.50,814.70,796.50,803.85,805.043733840392352375,86249,3050,69434217.00,34577,40.09,18.20,-9.65
17-November-2016,808.00,815.60,803.00,812.15,810.169832142649706685,68868,2786,55794776.00,20969,30.45,12.60,4.15
16-November-2016,807.00,810.90,798.50,806.55,801.111277308320322276,335612,3045,268862558.00,236802,70.56,12.40,-0.45
15-November-2016,807.00,809.50,783.25,805.20,800.167915364146020099,77414,3070,61944199.00,19332,24.97,26.25,-1.80
11-November-2016,820.90,820.90,798.40,800.90,802.408934335404923640,83028,2764,66622409.00,30990,37.32,22.50,-20.00
10-November-2016,833.00,842.00,814.90,821.65,830.128011365976197339,97132,3782,80631994.00,42669,43.93,27.10,-11.35
9-November-2016,830.00,834.00,798.00,827.50,821.016957275475850970,169013,6000,138762539.00,44664,26.43,36.00,-2.50
8-November-2016,839.00,845.45,835.10,842.70,840.855960645487563790,43502,1549,36578916.00,11657,26.80,10.35,3.70
7-November-2016,848.00,851.00,835.25,838.15,840.225758026159334126,67280,2362,56530389.00,21543,32.02,15.75,-9.85
4-November-2016,848.00,866.85,843.95,847.40,855.340232998022526008,139572,4358,119381547.00,44949,32.20,22.90,-0.60
3-November-2016,844.90,848.50,835.00,839.75,842.455817672930827668,65026,1924,54781532.00,31964,49.16,13.50,-5.15
2-November-2016,835.00,848.30,832.00,841.45,842.031247465873766725,73990,2733,62301892.00,24778,33.49,16.30,6.45
1-November-2016,835.60,842.80,829.75,835.25,836.437438745508003920,39793,1765,33284355.00,16738,42.06,13.05,-0.35
