Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,257.00,266.20,256.10,265.00,262.185219771234798474,1161890,9754,304630385.00,390786,33.63,10.10,8.00
29-November-2016,256.00,259.15,254.35,255.75,256.613048285014097467,2103924,9759,539894351.00,809826,38.49,4.80,-0.25
28-November-2016,257.00,257.00,253.75,255.35,254.754433789667770628,2517598,7506,641369253.00,1739426,69.09,3.25,-1.65
25-November-2016,261.90,262.10,257.25,259.85,258.817678274722553364,2862983,13215,740990613.00,1065828,37.23,4.85,-2.05
24-November-2016,264.00,264.00,258.00,259.65,260.346004923373792094,866479,7944,225584346.00,171908,19.84,6.00,-4.35
23-November-2016,265.35,265.80,260.65,265.00,263.543004891329786404,1025488,6395,270260189.00,251600,24.53,5.15,-0.35
22-November-2016,263.00,266.60,259.60,263.35,262.860952924762210654,1176882,13175,309356324.00,271591,23.08,7.00,0.35
21-November-2016,266.00,267.40,255.00,261.55,260.326214500290115837,1963009,13599,511022702.00,729406,37.16,12.40,-4.45
18-November-2016,269.40,269.40,262.50,264.55,266.509869319964233701,1533287,7315,408636118.00,974960,63.59,6.90,-4.85
17-November-2016,267.00,270.55,264.15,267.70,268.275133125912994058,1175391,9477,315328177.00,369652,31.45,6.40,0.70
16-November-2016,275.55,278.00,264.25,266.25,273.054384348845717834,3774597,13401,1030670260.00,2306102,61.10,13.75,-9.30
15-November-2016,278.30,280.65,266.30,269.30,273.569714623579047230,1496795,12164,409477781.00,521245,34.82,14.35,-9.00
11-November-2016,289.00,294.25,275.10,277.00,283.702265833897457860,3981095,15034,1129445672.00,2626281,65.97,19.15,-12.00
10-November-2016,289.50,298.20,286.70,292.55,292.330688688125297182,2061020,16808,602499396.00,495063,24.02,11.50,3.05
9-November-2016,257.00,284.70,254.90,281.55,272.432554251807705071,3630985,37479,989198518.00,626182,17.25,29.80,24.55
8-November-2016,281.60,287.40,278.35,283.20,282.469982653771448324,3225485,14424,911102692.00,1667407,51.69,9.05,1.60
7-November-2016,276.00,280.95,272.55,278.75,275.346275812389255024,2312746,15412,636805998.00,1127283,48.74,8.40,2.75
4-November-2016,271.10,272.60,265.60,269.70,269.471466744552367171,897041,6571,241726954.00,159848,17.82,7.00,-1.40
3-November-2016,272.10,276.30,268.60,269.80,271.761133092835089043,2554142,7342,694116524.00,1199875,46.98,7.70,-2.30
2-November-2016,270.05,273.00,268.85,271.85,270.673340173779916774,1227990,8200,332384155.00,534418,43.52,4.15,1.80
1-November-2016,279.95,279.95,274.65,275.35,277.641540031484103691,1643369,5703,456267500.00,1121021,68.21,5.30,-4.60
